,index,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
0,0,CHEMBL199572,inactive,CN(C(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1C(=O)O,331.3710000000001,4.328400000000004,1.0,2.0,42600.0,4.370590400897281
1,1,CHEMBL199574,inactive,O=C(Nc1ccccc1C(=O)O)c1ccc2cc(Br)ccc2c1,370.202,4.552800000000002,2.0,2.0,142600.0,3.845880474484153
2,2,CHEMBL372561,inactive,CN(C(=O)c1ccc2cc(Br)ccc2c1)c1ccccc1C(=O)O,384.2290000000001,4.577100000000003,1.0,2.0,93400.0,4.029653123769907
3,3,CHEMBL370865,inactive,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccccc2)cc1,317.344,4.304100000000002,2.0,2.0,153500.0,3.8138916201867947
4,4,CHEMBL199575,inactive,CN(C(=O)c1ccc2ccccc2c1)c1ccccc1C(=O)O,305.3330000000001,3.814600000000002,1.0,2.0,200000.0,3.6989700043360187
5,5,CHEMBL200536,inactive,O=C(Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,291.306,3.790300000000002,2.0,2.0,200000.0,3.6989700043360187
6,6,CHEMBL218467,active,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,369.4420000000002,4.476500000000003,1.0,6.0,160.0,6.795880017344075
7,7,CHEMBL973,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,270.21,2.99948,2.0,3.0,190100.0,3.721017883134557
8,8,CHEMBL217893,active,Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-],325.15100000000007,4.462320000000003,1.0,3.0,230.0,6.638272163982407
9,9,CHEMBL217951,active,Cc1cc(Br)ccc1NC(=O)c1ccc2ccccc2c1,340.2200000000001,5.163020000000003,1.0,1.0,180.0,6.7447274948966935
10,10,CHEMBL217897,inactive,CCOC(=O)C(=CNc1cccc(-c2ccccc2)c1)C(=O)OCC,339.39100000000013,3.7756000000000025,1.0,5.0,86700.0,4.06198090252379
11,11,CHEMBL387254,inactive,CCOC(=O)/C(C#N)=C\Nc1cccc(-c2ccccc2)c1,292.338,3.736080000000002,1.0,4.0,21300.0,4.671620396561262
12,12,CHEMBL373493,inactive,CCOC(=O)C(=CNc1ccc(-c2ccccc2)cc1)C(=O)OCC,339.39100000000013,3.7756000000000025,1.0,5.0,500000.0,3.3010299956639813
13,13,CHEMBL374338,inactive,CCOC(=O)/C(C#N)=C\Nc1ccc(-c2ccccc2)cc1,292.338,3.736080000000002,1.0,4.0,500000.0,3.3010299956639813
14,14,CHEMBL219855,inactive,CCOC(=O)C(=CNc1ccc2[nH]cnc2c1)C(=O)OCC,303.3180000000001,1.9848999999999999,2.0,6.0,349100.0,3.457050151185821
15,15,CHEMBL413583,inactive,CCOC(=O)C(=CNc1ccccc1C)C(=O)OCC,277.32000000000005,2.417020000000001,1.0,5.0,345600.0,3.4614262661931443
16,16,CHEMBL219856,inactive,CCOC(=O)C(=CNc1ccc(C)cc1)C(=O)OCC,277.32000000000005,2.417020000000001,1.0,5.0,40000.0,4.3979400086720375
17,17,CHEMBL435137,inactive,CCOC(=O)C(=CNc1ccc2[nH]ncc2c1)C(=O)OCC,303.3180000000001,1.9848999999999999,2.0,6.0,27780.0,4.556267758598403
18,18,CHEMBL218703,active,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,333.3910000000001,4.196880000000003,1.0,5.0,440.0,6.356547323513812
19,19,CHEMBL454269,inactive,Cc1cc(Nc2ccccc2Cl)n2ncnc2n1,259.7,2.82972,1.0,5.0,100000.0,4.0
20,20,CHEMBL473816,inactive,Cc1cc(Nc2ccccc2C)n2ncnc2n1,239.282,2.4847399999999995,1.0,5.0,100000.0,4.0
21,21,CHEMBL475663,inactive,Cc1cc(Nc2ccccc2C(F)(F)F)n2ncnc2n1,293.252,3.195120000000001,1.0,5.0,100000.0,4.0
22,22,CHEMBL452667,inactive,Cc1cc(Nc2ccccc2C#N)n2ncnc2n1,250.26500000000001,2.047999999999999,1.0,6.0,100000.0,4.0
23,23,CHEMBL514038,intermediate_active,Cc1cc(Nc2cccc(F)c2)n2ncnc2n1,243.245,2.3154199999999996,1.0,5.0,9200.0,5.036212172654444
24,24,CHEMBL499296,intermediate_active,Cc1cc(Nc2cccc(Cl)c2)n2ncnc2n1,259.7,2.82972,1.0,5.0,1400.0,5.853871964321762
25,25,CHEMBL475664,intermediate_active,Cc1cccc(Nc2cc(C)nc3ncnn23)c1,239.282,2.4847399999999995,1.0,5.0,4900.0,5.309803919971486
26,26,CHEMBL474842,inactive,Cc1cc(Nc2cccc(C(F)(F)F)c2)n2ncnc2n1,293.252,3.195120000000001,1.0,5.0,14000.0,4.853871964321762
27,27,CHEMBL474004,inactive,Cc1cc(Nc2ccc(F)cc2)n2ncnc2n1,243.245,2.3154199999999996,1.0,5.0,19000.0,4.721246399047171
28,28,CHEMBL452465,intermediate_active,Cc1cc(Nc2ccc(Cl)cc2)n2ncnc2n1,259.7,2.829720000000001,1.0,5.0,1600.0,5.795880017344075
29,29,CHEMBL492520,active,Cc1cc(Nc2ccc(Br)cc2)n2ncnc2n1,304.151,2.9388200000000007,1.0,5.0,780.0,6.107905397309519
30,30,CHEMBL492528,intermediate_active,Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,239.28200000000004,2.4847400000000004,1.0,5.0,4200.0,5.376750709602099
31,31,CHEMBL492529,active,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,293.252,3.195120000000001,1.0,5.0,280.0,6.552841968657781
32,32,CHEMBL523669,intermediate_active,COc1ccc(Nc2cc(C)nc3ncnn23)cc1,255.281,2.18492,1.0,6.0,4600.0,5.337242168318426
33,33,CHEMBL492530,intermediate_active,Cc1cc(Nc2ccc(OC(F)(F)F)cc2)n2ncnc2n1,309.251,3.0749200000000005,1.0,6.0,1200.0,5.920818753952375
34,34,CHEMBL492336,intermediate_active,Cc1cc(Nc2ccc(OC(F)F)cc2)n2ncnc2n1,291.261,2.7777200000000004,1.0,6.0,2800.0,5.552841968657781
35,35,CHEMBL500504,intermediate_active,Cc1cc(Nc2ccc([N+](=O)[O-])cc2)n2ncnc2n1,270.252,2.0845199999999995,1.0,7.0,4300.0,5.366531544420414
36,36,CHEMBL522991,intermediate_active,Cc1cc(Nc2ccc(-c3ccccc3)cc2)n2ncnc2n1,301.35300000000007,3.843320000000003,1.0,5.0,5300.0,5.275724130399211
37,37,CHEMBL492549,intermediate_active,Cc1cc(Nc2ccc(Cc3ccccc3)cc2)n2ncnc2n1,315.38000000000005,3.767120000000002,1.0,5.0,2200.0,5.657577319177793
38,38,CHEMBL506446,inactive,Cc1cc(Nc2cccc(F)c2F)n2ncnc2n1,261.23499999999996,2.4545199999999996,1.0,5.0,39000.0,4.4089353929735005
39,39,CHEMBL451525,inactive,Cc1cc(Nc2cc(F)ccc2F)n2ncnc2n1,261.235,2.4545199999999996,1.0,5.0,50000.0,4.301029995663981
40,40,CHEMBL492550,inactive,Cc1cc(Nc2c(F)cccc2F)n2ncnc2n1,261.235,2.4545199999999996,1.0,5.0,100000.0,4.0
41,41,CHEMBL493761,inactive,Cc1cc(Nc2ccc(F)c(F)c2F)n2ncnc2n1,279.22499999999997,2.5936199999999996,1.0,5.0,29000.0,4.5376020021010435
42,42,CHEMBL451417,inactive,Cc1cc(Nc2cc(F)c(F)cc2F)n2ncnc2n1,279.225,2.5936199999999996,1.0,5.0,17000.0,4.769551078621726
43,43,CHEMBL523691,inactive,Cc1cc(Nc2c(F)cc(F)cc2F)n2ncnc2n1,279.225,2.5936199999999996,1.0,5.0,100000.0,4.0
44,44,CHEMBL508404,inactive,Cc1cc(Nc2c(F)c(F)cc(F)c2F)n2ncnc2n1,297.21500000000003,2.7327200000000005,1.0,5.0,100000.0,4.0
45,45,CHEMBL492497,inactive,Cc1cc(Nc2c(F)c(F)c(F)c(F)c2F)n2ncnc2n1,315.205,2.8718200000000005,1.0,5.0,100000.0,4.0
46,46,CHEMBL502389,inactive,Cc1ccc(Nc2cc(C)nc3ncnn23)c(F)c1,257.272,2.6238400000000004,1.0,5.0,27000.0,4.568636235841013
47,47,CHEMBL523163,intermediate_active,Cc1cc(Nc2ccc(F)c(F)c2)n2ncnc2n1,261.23499999999996,2.4545199999999996,1.0,5.0,8000.0,5.096910013008056
48,48,CHEMBL492695,intermediate_active,Cc1cc(Nc2cc(F)cc(F)c2)n2ncnc2n1,261.235,2.4545200000000005,1.0,5.0,9400.0,5.026872146400302
49,49,CHEMBL492711,inactive,Cc1cc(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)n2ncnc2n1,361.249,4.213920000000002,1.0,5.0,100000.0,4.0
50,50,CHEMBL492712,intermediate_active,Cc1cc(Nc2ccc(F)c(C)c2)n2ncnc2n1,257.272,2.6238400000000004,1.0,5.0,4600.0,5.337242168318426
51,51,CHEMBL452392,active,Cc1cc(Nc2ccc(Cl)c(C(F)(F)F)c2)n2ncnc2n1,327.697,3.8485200000000015,1.0,5.0,800.0,6.096910013008056
52,52,CHEMBL13380,active,Cc1cc(Nc2ccc(Br)c(C(F)(F)F)c2)n2ncnc2n1,372.148,3.9576200000000012,1.0,5.0,450.0,6.346787486224656
53,53,CHEMBL437480,intermediate_active,Cc1cc(Nc2ccc(C)c(C(F)(F)F)c2)n2ncnc2n1,307.279,3.503540000000002,1.0,5.0,1550.0,5.809668301829708
54,54,CHEMBL447995,active,Cc1cc(Nc2ccc(C)c(C)c2)n2ncnc2n1,253.309,2.7931600000000003,1.0,5.0,350.0,6.455931955649724
55,55,CHEMBL522325,intermediate_active,Cc1cc(Nc2ccc(C#N)c(C(F)(F)F)c2)n2ncnc2n1,318.262,3.0668000000000006,1.0,6.0,4900.0,5.309803919971486
56,56,CHEMBL492719,active,Cc1cc(Nc2ccc(C)c(F)c2)n2ncnc2n1,257.272,2.6238400000000004,1.0,5.0,860.0,6.0655015487564325
57,57,CHEMBL492720,active,Cc1cc(Nc2ccc(C(F)(F)F)c(F)c2)n2ncnc2n1,311.24199999999996,3.334220000000001,1.0,5.0,77.0,7.113509274827518
58,58,CHEMBL444928,inactive,Cc1cc(Nc2ccccc2F)n2ncnc2n1,243.245,2.3154199999999996,1.0,5.0,100000.0,4.0
59,59,CHEMBL475813,active,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,275.31500000000005,3.3295200000000014,1.0,5.0,47.0,7.327902142064283
60,60,CHEMBL475814,active,Cc1cc(Nc2ccc3cc4ccccc4cc3c2)n2ncnc2n1,325.37500000000006,4.482720000000003,1.0,5.0,56.0,7.251811972993799
61,61,CHEMBL446825,inactive,Cc1cc(Nc2ccccc2)n2ncnc2n1,225.25500000000002,2.1763199999999996,1.0,5.0,100000.0,4.0
62,62,CHEMBL449358,inactive,Cc1cc(Nc2cccc3ccccc23)n2ncnc2n1,275.31500000000005,3.3295200000000014,1.0,5.0,45000.0,4.346787486224656
63,63,CHEMBL484305,intermediate_active,Cc1cc(Nc2ccc3c(=O)cc(C)oc3c2)n2ncnc2n1,307.313,2.59114,1.0,7.0,2000.0,5.698970004336019
64,64,CHEMBL487518,active,Cc1cc(Nc2cc3ccccc3cc2O)n2ncnc2n1,291.314,3.035120000000001,2.0,6.0,330.0,6.481486060122113
65,65,CHEMBL451880,intermediate_active,Cc1cc(Nc2ccc3ncccc3c2)n2ncnc2n1,276.30300000000005,2.72452,1.0,6.0,1200.0,5.920818753952375
66,66,CHEMBL503135,intermediate_active,Cc1cc(Nc2cnc3ccccc3c2)n2ncnc2n1,276.30300000000005,2.72452,1.0,6.0,1700.0,5.769551078621726
67,67,CHEMBL487517,inactive,Cc1cc(Nc2ccc(C(N)=O)cc2)n2ncnc2n1,268.28,1.2752199999999998,2.0,6.0,200000.0,3.6989700043360187
68,68,CHEMBL486697,inactive,Cc1cc(N(Cc2ccccc2)c2ccc3ccccc3c2)n2ncnc2n1,365.4400000000001,4.9242200000000045,0.0,5.0,93000.0,4.031517051446065
69,69,CHEMBL486490,intermediate_active,Cc1cc(N(C)c2ccc3ccccc3c2)n2ncnc2n1,289.34200000000004,3.3538200000000016,0.0,5.0,3000.0,5.522878745280337
70,70,CHEMBL486489,active,Cc1nc2ncnn2c(Nc2ccc3ccccc3c2)c1C,289.34200000000004,3.637940000000002,1.0,5.0,160.0,6.795880017344075
71,71,CHEMBL484294,active,CCc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,289.34200000000004,3.5835000000000017,1.0,5.0,190.0,6.721246399047171
72,72,CHEMBL519836,active,FC(F)(F)c1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,329.2850000000001,4.039900000000003,1.0,5.0,210.0,6.6777807052660805
73,73,CHEMBL1450,inactive,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,366.84400000000016,5.505100000000004,1.0,3.0,10000.0,5.0
74,74,CHEMBL567597,inactive,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,282.33599999999996,2.3949000000000007,0.0,5.0,10000.0,5.0
75,75,CHEMBL275638,inactive,O=c1cc(-c2ccccc2)oc2ccccc12,222.243,3.4600000000000017,0.0,2.0,10000.0,5.0
76,76,CHEMBL429023,inactive,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,394.4230000000001,3.7033000000000023,0.0,6.0,10000.0,5.0
77,77,CHEMBL481680,inactive,c1ccc([I+]c2ccccc2)cc1,281.116,-0.18500000000000005,0.0,0.0,10000.0,5.0
78,78,CHEMBL397686,inactive,c1ccc2c(c1)[I+]c1ccccc1-2,279.1,-0.20460000000000012,0.0,0.0,10000.0,5.0
79,79,CHEMBL224182,intermediate_active,CCCCCCCCCCCCc1cc(=O)c2ccccc2n1O,329.484,5.702200000000006,1.0,3.0,4000.0,5.3979400086720375
80,80,CHEMBL211501,inactive,CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,548.6330000000003,3.480400000000002,3.0,9.0,10000.0,5.0
81,81,CHEMBL483995,inactive,CCOc1cccc(-c2ccc(NC(=O)/C(C#N)=C(/C)O)cc2)c1,322.36400000000003,4.046380000000002,2.0,4.0,182400.0,3.7389751660076027
82,82,CHEMBL483994,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1Cl,312.7560000000001,4.301080000000002,2.0,3.0,51100.0,4.291579099865287
83,83,CHEMBL484531,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1,312.75600000000003,4.3010800000000025,2.0,3.0,47400.0,4.324221658325915
84,84,CHEMBL505315,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1,347.201,4.954480000000002,2.0,3.0,27200.0,4.565431095965801
85,85,CHEMBL520008,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)c(Cl)c1,347.201,4.954480000000002,2.0,3.0,236600.0,3.6259852597080884
86,86,CHEMBL484780,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1,347.201,4.954480000000002,2.0,3.0,165000.0,3.7825160557860937
87,87,CHEMBL484602,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1C(F)(F)F,380.75300000000004,5.319880000000002,2.0,3.0,57200.0,4.242603971206976
88,88,CHEMBL484595,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1Cl,347.201,4.954480000000002,2.0,3.0,49100.0,4.308918507877031
89,89,CHEMBL484594,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,381.6460000000001,5.6078800000000015,2.0,3.0,10200.0,4.991399828238082
90,90,CHEMBL520999,intermediate_active,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1Cl,381.6460000000001,5.6078800000000015,2.0,3.0,9900.0,5.00436480540245
91,91,CHEMBL483161,intermediate_active,COc1ccccc1-c1ccc(NC(=O)/C(C#N)=C(/C)O)c(Cl)c1,342.78200000000004,4.309680000000003,2.0,4.0,8600.0,5.0655015487564325
92,92,CHEMBL520306,intermediate_active,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1C(F)(F)F,380.75300000000004,5.319880000000002,2.0,3.0,6200.0,5.207608310501746
93,93,CHEMBL483552,intermediate_active,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1Cl,347.201,4.954480000000002,2.0,3.0,4000.0,5.3979400086720375
94,94,CHEMBL142996,inactive,N#C/C(C(=O)Nc1ccc(-c2ccccc2)cc1)=C(/O)C1CC1,304.3490000000001,4.037780000000002,2.0,3.0,223600.0,3.6505282007856144
95,95,CHEMBL519160,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1,278.31100000000004,3.647680000000001,2.0,3.0,25700.0,4.590066876668706
96,96,CHEMBL141732,inactive,N#C/C(C(=O)Nc1ccc(C(F)(F)F)cc1)=C(/O)C1CC1,296.24800000000005,3.3895800000000014,2.0,3.0,92500.0,4.0338582672609675
97,97,CHEMBL973,inactive,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,270.21,2.99948,2.0,3.0,190100.0,3.721017883134557
98,98,CHEMBL586157,active,Cc1cc(Nc2ccc3c(c2)CCC3)n2ncnc2n1,265.31999999999994,2.66502,1.0,5.0,220.0,6.657577319177793
99,99,CHEMBL1784578,active,Cc1cc(Nc2ccc3c(c2)CCCC3)n2ncnc2n1,279.347,3.0551200000000005,1.0,5.0,64.0,7.1938200260161125
100,100,CHEMBL1784577,active,Cc1cc(Nc2cc(F)c(C(F)(F)F)c(F)c2)n2ncnc2n1,329.23199999999997,3.473320000000001,1.0,5.0,190.0,6.721246399047171
101,101,CHEMBL1784576,active,Cc1cc(Nc2ccc(C(F)(F)F)c(C(F)(F)F)c2)n2ncnc2n1,361.24899999999997,4.213920000000002,1.0,5.0,540.0,6.267606240177032
102,102,CHEMBL1784575,active,Cc1cc(Nc2ccc(Cl)c(F)c2)n2ncnc2n1,277.69,2.968820000000001,1.0,5.0,550.0,6.259637310505756
103,103,CHEMBL1784574,active,Cc1cc(Nc2ccc(C(C)(C)C)c(F)c2)n2ncnc2n1,299.353,3.6129200000000017,1.0,5.0,35.0,7.455931955649724
104,104,CHEMBL1784573,active,Cc1cc(Nc2ccc(C(C)(C)C#N)cc2)n2ncnc2n1,292.346,2.977500000000001,1.0,6.0,1000.0,6.0
105,105,CHEMBL1784572,inactive,Cc1cc(Nc2ccc(OC(C)(C)C)cc2)n2ncnc2n1,297.362,3.353620000000001,1.0,6.0,44000.0,4.356547323513812
106,106,CHEMBL1784571,inactive,Cc1cc(Nc2ccc(NC(C)(C)C)cc2)n2ncnc2n1,296.37800000000004,3.3867200000000013,2.0,6.0,50000.0,4.301029995663981
107,107,CHEMBL1784570,inactive,Cc1cc(Nc2ccc(N3CCOCC3)cc2)n2ncnc2n1,310.361,2.0129199999999994,1.0,7.0,100000.0,4.0
108,108,CHEMBL1784569,intermediate_active,Cc1cc(Nc2ccc(N3CCCC3)cc2)n2ncnc2n1,294.36199999999997,2.7765200000000005,1.0,6.0,3500.0,5.455931955649724
109,109,CHEMBL582694,active,Cc1cc(Nc2ccc(N(C)C)cc2)n2ncnc2n1,268.324,2.2423199999999994,1.0,6.0,820.0,6.086186147616283
110,110,CHEMBL1784568,intermediate_active,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)n2ncnc2n1,331.379,3.755320000000001,1.0,6.0,5400.0,5.267606240177032
111,111,CHEMBL1784567,active,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2ncnc2n1,351.304,4.833720000000001,1.0,5.0,130.0,6.886056647693163
112,112,CHEMBL1784566,active,Cc1cc(Nc2ccc(SC(F)(F)F)cc2)n2ncnc2n1,325.319,3.7882200000000017,1.0,6.0,610.0,6.214670164989233
113,113,CHEMBL1784565,intermediate_active,Cc1cc(Nc2ccc(CC(F)(F)F)cc2)n2ncnc2n1,307.279,3.2811200000000014,1.0,5.0,2500.0,5.6020599913279625
114,114,CHEMBL1784564,intermediate_active,C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,249.27700000000002,2.1576199999999996,1.0,5.0,1100.0,5.958607314841775
115,115,CHEMBL1784563,active,C=Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,251.293,2.8193200000000003,1.0,5.0,800.0,6.096910013008056
116,116,CHEMBL1784562,active,Cc1cc(Nc2ccc(C3CC3)cc2)n2ncnc2n1,265.32,3.05372,1.0,5.0,420.0,6.376750709602099
117,117,CHEMBL1784561,active,Cc1cc(Nc2ccc(C(C)(C)C)cc2)n2ncnc2n1,281.363,3.4738200000000017,1.0,5.0,78.0,7.107905397309519
118,118,CHEMBL600255,active,Cc1cc(Nc2ccc(C(C)C)cc2)n2ncnc2n1,267.336,3.2997200000000007,1.0,5.0,220.0,6.657577319177793
119,119,CHEMBL1784560,inactive,CCCCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,337.47100000000006,5.079320000000004,1.0,5.0,50000.0,4.301029995663981
120,120,CHEMBL1784559,inactive,CCCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,323.444,4.689220000000003,1.0,5.0,24000.0,4.619788758288394
